Bed code,Set date,Station number,Haul number,Samplers initials,SizeClass,Species code,Basket ID,Total number,Total weight (kg),Species name
EK1,2016-4-19,K04,22,JM,3,74120,,,2.320,Empty shells
EK1,2016-4-19,J05,23,JM,1,74120,Q,36,7.600,Weathervane scallop
EK1,2016-4-19,J05,23,JM,1,74120,MB,4,1.150,Weathervane scallop
EK1,2016-4-19,J05,23,JM,,99997,,,37.360,Unsorted catch and debris
EK1,2016-4-19,J05,23,JM,,68560,SF,1,0.004,Tanner crab
EK1,2016-4-19,J05,23,JM,,435,,2,2.360,Bering skate
EK1,2016-4-19,J05,23,JM,,80000,,1,0.560,Unknown seastar
EK1,2016-4-19,J05,23,JM,,10180,,2,0.610,Dover sole
EK1,2016-4-19,J05,23,JM,3,74120,,,1.900,Empty shells
EK1,2016-4-19,J05,23,JM,,99997,,,22.120,Unsorted catch and debris
EK1,2016-4-19,J05,23,JM,,99997,,,27.120,Unsorted catch and debris
EK1,2016-4-19,I06,24,JM,1,74120,,15,3.110,Weathervane scallop
EK1,2016-4-19,I06,24,JM,3,74120,,,0.820,Empty shells
EK1,2016-4-19,I06,24,JM,,99997,,,26.700,Unsorted catch and debris
EK1,2016-4-19,I06,24,JM,,80810,,2,1.900,Leafy flat sea star
EK1,2016-4-19,I06,24,JM,,99997,,,13.660,Unsorted catch and debris
EK1,2016-4-19,I06,24,JM,,99997,,,10.860,Unsorted catch and debris
EK1,2016-4-19,I06,24,JM,,99997,,,13.780,Unsorted catch and debris
EK1,2016-4-19,H07,25,JM,1,74120,,59,13.880,Weathervane scallop
EK1,2016-4-19,H07,25,JM,1,74120,H,36,7.960,Weathervane scallop
EK1,2016-4-19,H07,25,JM,1,74120,,1,0.170,Weathervane scallop
EK1,2016-4-19,H07,25,JM,3,74120,,,0.800,Empty shells
EK1,2016-4-19,H07,25,JM,,99997,,,23.720,Unsorted catch and debris
EK1,2016-4-19,H07,25,JM,,99997,,,16.950,Unsorted catch and debris
EK1,2016-4-19,H07,25,JM,,99997,,,12.460,Unsorted catch and debris
EK1,2016-4-19,H07,25,JM,,99997,,,21.100,Unsorted catch and debris
EK1,2016-4-19,H07,25,JM,,80810,,10,7.940,Leafy flat sea star
EK1,2016-4-19,G09,26,JM,1,74120,,100,22.580,Weathervane scallop
EK1,2016-4-19,G09,26,JM,1,74120,,100,22.260,Weathervane scallop
EK1,2016-4-19,G09,26,JM,1,74120,F,19,4.300,Weathervane scallop
EK1,2016-4-19,G09,26,JM,3,74120,,,0.540,Empty shells
EK1,2016-4-19,G09,26,JM,,99997,,,15.120,Unsorted catch and debris
EK1,2016-4-19,G09,26,JM,,99997,,,18.460,Unsorted catch and debris
EK1,2016-4-19,G09,26,JM,,99997,,,18.160,Unsorted catch and debris
EK1,2016-4-19,G09,26,JM,,99997,,,13.040,Unsorted catch and debris
EK1,2016-4-19,G09,26,JM,,99997,,,19.820,Unsorted catch and debris
EK1,2016-4-19,G09,26,JM,,80810,,,8.460,Leafy flat sea star
EK1,2016-4-19,F09,27,JM,1,74120,,9,2.160,Weathervane scallop
